,id,normalize,posicionamento
66,"1,18242002265799E+018", tô te imaginando parada com as mãozinhas na cintura olhando pra essa semana dizendo rapaiz,neutro
67,"1,18163702827186E+018", tem partido político por aqui que se posiciona na cara dura contra leis severas para crimes e corrupção mas parte da politica,esquerda
68,"1,18310732485396E+018", quem tem não convida nós triste demais isso,neutro
69,"1,09094122204108E+018", como influenciar e matar pessoas 1 o que matou em brumadinho foi uma leitura da realidade e zema o imortal coletor de corpos,neutro
70,"1,18460126317613E+018",em defesa do brasil contra a entrega da embraer debate com professores alunos metalúrgicos na unifesp em são josé dos campos sp o brasil está se levantando contra essa negociata🌹 saiba mais ,esquerda
71,"1,18675775477982E+018", manifestação de pais e alunos das escolas santo agostinho e loyola pela liberdade de expressão de professores na educação m…,esquerda
72,"1,18306901765073E+018", vota em racista e vai à pé até o santuário de nossa senhora aparecida a santa negrahipócrita,esquerda
73,"1,17209691426493E+018",oo ,neutro
74,"1,18266940506863E+018", ao contrário do que diz bolsonaro o brasil durante o governo lula foi várias vezes sondado pelo secretáriogeral da…,neutro
75,"1,18305581140642E+018", esses são uma escória que não quer o progresso do brasila lista dos 10 maiores inúteis jornaleiros a serviço do…,direita
76,"1,17223423405817E+018", hahahahahahaha,neutro
77,"1,17986320562091E+018",ataques de todos os lados ,neutro
78,"1,11968333027703E+018",honrando as origens em feira de são cristóvão  centro luiz gonzaga de tradições nordestinas ,neutro
79,"1,1831820719987E+018", ops júlia k,neutro
80,"1,18278658352051E+018", às vezes há males que vêm para o bem o gabriel já está com mais de 32 mil seguidores no instagram eu entre eles que sua arte supere essa manifestação idiota de preconceito,neutro
81,"1,18245754188166E+018", hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahjean wylys de direita…,neutro
82,"1,18297693696181E+018",no futuro o discovery chanel vai apresentar o bolsonaro e a sua corrente do mal vai vendo ,esquerda
83,"1,18678585681791E+018", ja subiu bateu recorde 1,neutro
84,"1,18737585012518E+018",fora salesricardo sales do novo é ele próprio uma tragédia ambiental o ministro atua conscientemente para beneficiar desmatadores e empresas poluidoras age com negligência proposital e bota sempre a culpa nos outros assine a petição ,esquerda
85,"1,1824044334031E+018", crlh que profundo mané,neutro
86,"1,18129476521365E+018",miniserieshbowhentheyseus realifeclown realifescapist ,neutro
87,"1,1711903464554E+018", é isso que eu sinto por vc klk,neutro
88,"1,18699068434519E+018",ontem a câmara aprovou por 329 votos a 86 o acordo bolsonarotrump que entrega a base espacial de alcântara ma para os eua e ainda expulsa famílias quilombolas toda a bancada do psol votou contra esse entreguismo vergonhoso para nós soberania e dignidade não se vendem,esquerda
89,"1,17977881154778E+018",é tão delirante o pensamento de que o pobre conseguiria pagar um plano de saúde se o estado não interferisse que a melhor coisa a se fazer é abstrair e fingir demência,esquerda
90,"1,1831436634609E+018", essa é para o felipe moura brasil jorna de vocês,neutro
91,"1,15223019305614E+018", comentario estupido é desnecessário ,neutro
92,"1,17548119253316E+018", pensei que a gente já tinha casado,neutro
93,"1,18314083963315E+018", você parece meu priminho de 7 anos,neutro
94,"1,18238021155755E+018",Niobio cash a criptomoeda do brasil para os brasileiros vamos apoiar e incentivar a ultilização de um ativo genuinamente brazuca niobiocash niobio,direita
95,"1,18665764043428E+018",segue a pressão para que o governo leite retire o pedido de urgência da tramitação do pl 4312019 que altera 480 itens do código ambiental gaúcho o tj o mp e mais de 70 entidades reivindicam ao governo o mais amplo debate sobre o novo código ambiental estamos nesta luta ,neutro
96,"1,18232994603274E+018", “apareci aleatoriamente ali e fiz o gol” 😂 ,neutro
97,"1,18265997548472E+018",vale a leiturabrasil na ocde ‘estamos colhendo a humilhação pública depois de todo festejo’ diz ricupero ,neutro
98,"1,18302078486595E+018", de certa forma todo mundo sabia que o caminho era esse existe uma versão um “dialeto” de direitos humanos que usa a ban…,neutro
99,"1,13754740857182E+018", estar com a sua família escutando belchior e tomando um bom vinho no conforto de sua casa a felicidade são esses moment…,neutro
100,"1,12373703039829E+018", 🤭,neutro
101,"1,18298036285673E+018", a luta continua companheira bom sábado,neutro
102,"1,18186085749771E+018", os protetores de bandidos não querem que a propaganda do pacote anticrime seja divulgada então já sabem a gente divulga …,direita
103,"4,97183814670901E+017",eu estou ouvindo rádio cultura fm 1033no realradio ,neutro
104,"1,18301428141312E+018",índia chega a mais de 30 mil suicídios de agricultores aponta dossiê via ,neutro
105,"1,18274585153129E+018", pegar minhas manias ok agr usar cm outras pessoas ai já é demais ne,neutro
106,"1,18247717080082E+018", serve 1 compra ifod 6n8hk9ekfd,neutro
107,"1,18126979959642E+018", quando seus amigos tiram sarro de sua maior insegurança mas você tem q agir como se isso não o incomodasse …,neutro
108,"1,18301481331791E+018", nicks é um poste,neutro
109,"1,18028188074845E+018", curioso sobre queiroz moro não fala sobre o ministro do turismo denunciado por corrupção também não fala menos ainda…,neutro
110,"1,18314384847161E+018", primeira santa brasileira irmã dulce se dedicou à classe trabalhadora ,esquerda
111,"1,17014290433513E+018",Volta pt volta pt volta pt lulalivre lulalivre lulalivre volta pt,esquerda
112,18553730395, thank you spain for geting the world cup for portugal ,neutro
113,"1,16426118377759E+018",evento de filiação psl  ariquemes rondônia 🇧🇷️ ,direita
114,"1,1820680600454E+018",lamentável a decisão do tcu que manteve a suspensão da propaganda do pacote anticrime que coisa mais pequena para o nosso paísa quem interesa não aprovar o pacote anticrime a sociedade quer espera e merece esa aprovação ,direita
115,"1,18309880120205E+018", beijar na boca é bom mas vc já levou um tiro nem eu vamo se beijar entao,neutro
116,"1,1816022126462E+018", como é acordar cedo escrever com entusiasmo depois ler o comentarios e perceber que não faz um bom trabalh…,neutro
117,"1,1824134186844E+018", do que adianta ter 20 reais of no uber eats se ele entrega pra cidade todinha menos pro meu bairro 🤠,neutro
118,"1,17960325883642E+018", seus livros são interessantes seria melhor que todos fossem em português,neutro
119,"1,1823003659848E+018", tinha é que estatizar tudo,esquerda
120,"1,16637159921127E+018", nesses aviões tem como levar nosso presidente pra israel e deixar ele lá pelos próximos 50 anos,esquerda
121,"1,18310904783227E+018",feliz dia das crianças ,neutro
122,"1,17219766938683E+018",dino homenageando bozolino ,neutro
123,"1,1870116261275E+018",essa modalidade para subsidiar estados e municípios precisa ser aprovada pelo senado federalcom isso consegui articular e colocar a matéria em pauta e votar emergencialmente na comissão de assuntos econômicos cae do senado logo em seguida foi aprovada também no plenário,neutro
124,"1,1826547342321E+018", se gritar chegou o papai náutico  não fica um,neutro
125,"1,1830753396412E+018",o pingo nos is e blogueiros de crachá  o que eu sei via ,neutro
126,"1,1801622536954E+018", ai sim esse é o meu presidente sempre trabalhando pelo povo,neutro
127,"1,12050228026723E+018", the internet is insane,neutro
128,"1,18268271818805E+018",as vezes acho que sou surtada pq jesus só faço merda vou tentar resolver o que não tenho culpa alguma e passo por loucaobrigada,neutro
129,"1,17194762521564E+018", fora diretoria iresponsansanvel,neutro
130,"1,18319013103081E+018", desodorante de milho,neutro
131,"1,18319754473574E+018", eu quero parar de chorar hoje mas a e o não me ajudam 😭❤️,neutro
132,"1,18275170542915E+018",não aparece quase mas estou lá no fundo 😂🏳️‍🌈📚🏳️‍🌈😂 ,neutro
133,"1,18319773391148E+018", nando deixou de ser conservador então pq foi desconvidado de um evento conservador pq critica duramente o governo…,direita
134,"1,15515292749919E+018", os espíritas não não generalize se algum irresponsável falou essa inverdade não deve responsabilizar o movimento espírita,neutro
135,"1,18317723804653E+018",he hurt me but it felt like true love,neutro
136,"1,18264200593718E+018",as nossas práticas políticas precisam refletir o que a gente quer ver transformado no mundo ,neutro
137,"1,18168151857559E+018", este perfil é team sergio moro eu apoio pacote anticrime ,direita
138,"1,18232498566849E+018", é de certa forma generalizando já que a grande maioria fala pela minoria de seus grupos religiosos e no mesmo pensamento os cristãos elegeram o bolsonaro e crivela em nome de da religião condenaram um país tão rico em diversidade então sim generalizando,esquerda
139,"1,15478502732402E+018", tem gente que prega o tempo todo ódio contra os muçulmanos tb em suas colunas e palestras além de ignorar.,esquerda
140,"1,18244697615734E+018",a renda rural em queda a indústria em queda livre o comércio quebrando o desemprego recorde a maior informalidade da história a pior década em matéria de crescimento econômico dos últimos 120 anos ,neutro
141,"1,18205331822028E+018",ospingosnois isso aí apoio 10,neutro
142,"1,18239134260288E+018",richard trumka presidente da maior central sindical norteamericana a aflcio e pepe alvarez secretáriogeral da maior central espanhola a ugt chegam à sede da polícia federal em curitiba para entregar o prêmio george meanylane kirkland de direitos humanos a lula ,neutro
143,"1,17866099649744E+018",mas arbitro não tem que falar com ninguém ,neutro
144,"1,15395827399076E+018", isso aí ta longe se ser no meio dos paraíbas vou te dar um exemplo mais claro ,neutro
145,"1,18275195683567E+018", Lei 492 jovens de hoje em dia sexo  bebidas  drogas  curtição eu atualmente  quero trabalhar  mora…,neutro
146,"1,18319949287677E+018",facilmente o melhor episódio dessa temporada,neutro
147,"1,12787765920628E+018", parabéns superar barreiras não importa em quais condições sociais é o que nos fortalece cada caso é um caso e uma história mas o sofrimento e a vitória são os mesmos,neutro
148,"1,18672727030154E+018",a cpi do bndes sem lula e dilma entra na seleta lista de absurdos como socialismo e liberdade impeachment de dilma sem a perda dos direitos políticos mensalão sem lula,direita
149,"1,18191678499321E+018", maro vc foi maravilha 🇧🇷 ,neutro
150,"1,18214740356418E+018",escola técnica virgínia patrick leva você a conhecer um pouco do bairro de copacabana o nome do bairro referese a imagem de nossa senhora de copacabana de origem boliviana a palavra copacabana vem da língua indígena quéchua kupa kawana que significa olhando o lago,neutro
151,"1,16529778792958E+018",quando a dilma falava em estocar vento na realidade era um plano maquiavélico e comunista do pt pra criar uma bomba de fumaça e prejudicar seus futuros adversários políticos,neutro
152,"1,18132645056321E+018",a palavra de deus fala por si é facil entender só não entende quem não quer em são josé santa catarina ,neutro
153,"1,18316717313461E+018", coração do tamanho do mundo nosso presidente visita de surpresa acd olha a emoção do garoto ao ver nosso p…,neutro
154,"2,40863783675888E+017",tão certo quanto 2 e 2 são 4 a vida vale a pena embora o pão seja amanhecido e a liberdade ainda não seja plena,neutro
155,"4,67004130578289E+017", quer viajar economizando muito o salãodoestudante2014 está chegando via ,neutro
156,"1,18203100568903E+018",✅reformas para facilitar a vida de quem quer emprender e trabalhar agilizando a abertura de empresas simplificando a contratação de funcionários e muito mais✅abertura comercial para ganharmos competitividade em nosso mercado e nos integrarmos a economia mundial,direita
157,"1,18300337861344E+018",felizdiadascriancas,neutro
158,"1,1830215825261E+018", 🤣😂🤣,neutro
159,"1,18307992641047E+018", k,neutro
160,"1,17365313604681E+018", segundo a lei n 13767 sancionada em dezembro de 2018 o empregado poderá deixar de comparecer ao serviço sem prejuíz…,neutro
161,"1,17593012115443E+018", mais um imbecil,neutro
162,"1,18188062518957E+018", hoje vc é livre liberdade para garantir sua própria segurança ou vc é livre de segurança,neutro
163,"1,18271152798141E+018", nobel da paz 2019 ignora favoritos das casas de aposta entre eles o cacique caiapó raoni metuktire e a sueca greta thun…,neutro
164,"1,000400200371E+018", acho que o bruninho quer morrer com esse técnico,neutro
165,"1,18207822220647E+018", a insanidade desse senhor não tem como ser mensurada o cidadão é bruto ignorante e ainda se acha tudo culpa de um gado mais desmiolado que ele,neutro
166,"1,18268982873283E+018",eu vi uma mulher gigante com um sorriso de quem tem fé na vida e na humanidade preta ferreira está livre ❤️ pretalivre 📷 ,neutro
167,"1,17481761155474E+018", setembroamarelonão existem problemas dos quais não possamos falar falar é a melhor solução reconectese com a feli…,neutro
168,"1,12251644263576E+018",newprofilepic inbrendanwetrust comeonleicester,neutro
169,"4,31267738942968E+017", conheça quem faz o lá no nosso blog   via ,neutro
170,"1,183208074536E+018", saudades de quando eu ganhava seguidores toda hora sabadodetremurasdv,neutro
171,"1,1447225605354E+018", show de bola prof apoiado,neutro
172,"1,15422815273613E+018", ou ser demitido tuga,neutro
173,"1,17919994299858E+018", como alguém pode afirmar que o comunismo acabou quando a segunda maior potência do mundo é comunista só por que ela ad…,esquerda
174,"1,18265903913578E+018",o gogle hoje presta homenagem mais do que merecida a maria firmina dos reis primeira romancista negra do país que publicou o romance úrsula em 1859 maria também se dedicou ao ensino e a luta abolicionista e hoje 1 de outubro seria seu 194º aniversário ✊🏾 ,neutro
175,"1,18278157565996E+018", mas com jornalistas deste nível  esquerdistas  rancorosos  etc vai continuar perdendo ,direita
176,"1,18320249267234E+018",botafogo corre contra o tempo para evitar desmanche do elenco na justiça via ,neutro
177,"1,18280480840054E+018", adorei a atitude de vcs parabéns,neutro
178,"1,18263277330514E+018", 🔞 trasladan a un herido durante las protestas en ecuadorfues imágenes  en este video difundido en redes sociales…,neutro
179,"1,18315527120562E+018", 😡 só porque ficou perfeito ok ,neutro
180,"1,18227315287908E+018", concordo novo álbum tá maravilhoso,neutro
181,"1,18320015858829E+018", vontade daquilo que começa com s e termina com o salário,neutro
182,"1,17796956100342E+018",olhe na janela e veja o dia lindo que deus fez pra vocêpasse uma água no pelo e não esqueça que raúl seixas disse tente outra vez 🎵🎶🎵 em indaiatuba sao paulo ,neutro
183,"1,17760668665326E+018", é muito boa que tri vcs curtirem tb 💚,neutro
184,"1,17760400411064E+018", esquerdista acha que menina de 16 anos pode decidir o futuro do planeta mas não acha que menor de 18 anos tenha capacidad…,direita
185,"1,18067808042108E+018", quatro anos passam rápido,neutro
186,"1,18320260998705E+018", sei que falando parece ser muito fácil por isso já inicio o papo assim pq só sabem retrucarmas pra uma empresa entregar o serviço com qualidade é necessário que a mesma tente estar por dentro de como anda o bem estar de seus trabalhadores,neutro
187,"1,18120830130183E+018", o brasil tem mais assassinatos do que todos estes países somados via ,neutro
188,"1,17703916152367E+018", a tv record ganhando dinheiro fácil k,neutro
189,"1,18266228663018E+018", kk,neutro
190,"1,18315536395427E+018", bolsonaro surprende a todos ele esteve no santuário de nossa senhora aparecida para celebrar o dia da padroeira do brasi…,neutro
191,"1,18268656889461E+018", um bom dia publicando esse click pra avisar que mesmo depois de perder nois não para de correr sendo assim to clicando d…,neutro
192,"1,1862850913765E+018",miliciano ,neutro
193,"1,18241498922481E+018",gostou do filme então vai gostar mais ainda do livro que mostra os bastidores nunca noticiados pela imprensa já disponível para prévenda na amazon e em breve em todas as livrarias pela editora recordlancamento nos dias 15 e 16 de novembro no congresso nacional do mbl d ,neutro
194,"1,18315859780874E+018", ja to bem tomei agua,neutro
195,"1,13413920449618E+018", tem um resumão,neutro
196,"1,18231939545817E+018", cristão vive ridicularizando esteriotipando excluindo outras religiões gays e ateus mas se fizer menção ao seu jesus europeu é o fim dos tempos faça me o favor k,esquerda
197,"1,18297977324245E+018", now i like tatas like everyone else but this sick broad takes sickness to another levelwhere tf do these people come f…,neutro
198,"1,18313188479411E+018", com essa pf direcionada tenho minhas dúvidas,neutro
199,"1,18314228956213E+018", corrupto,neutro
200,"1,1870999482293E+018",muito disseram e até pediram apoio na internet afirmando que a cpi lava togas atrapalharia a reforma da previdência previdência aprovada aos que me cobraram vamos agora juntos cobrar destes que assinem e apoiem a cpi doa a quem doer,esquerda
201,"1,18736009524567E+018",a deu em seus 4 anos de colunas da folha lições de economia sem economês lembro quando ela foi dar uma palestra no grupo de estudos do todos entenderam e seu didatismo nunca custou a profundidade ou o espírito crítico parabéns laura,neutro
202,"1,18733816921107E+018",mulher entrando em casa bandidos viram a oportunidade e foram pra cima só não contavam que ela estaria armada fim ,direita
203,"1,16782280714688E+018",av marcelino pires ,neutro
204,"1,18275068146533E+018",ô mariele quero justiça não aceitamos deputado da milícia 🎵estudantes do colégio pedro i deram a letra para os deputados que precisam destilar ódio para sobreviver politicamente os jovens mostram que o futuro é promissor o brasil é melhor que os bolsonaristas 💛 ,esquerda
205,"1,17245739255201E+018",saúde presidente estamos orando pelo senhorpor sua recuperação que deus o guarde ,neutro
206,"1,18319831222632E+018", aham nem convida,neutro
207,"1,1793240212986E+018", estou aguardando o tempo todo grudado nesse ap o cupom de bicicleta e até agora nada acho que vou desistir,neutro
208,"1,1828446430688E+018", arroz com feijão bife e a farinha aqui da bahia eta pobreza gostosa 🤣,neutro
209,"1,18269832258016E+018", vcs se humilham mt po não tá respondendo não tem interesse ué tira o cavalinho da chuva e se valoriza fim …,neutro
210,"1,16212119763677E+018", Lula preso,direita
211,"1,1592079440908E+018", supremo acaba de barrar a transferência arbitrária de lula a desmoralizada república de curitiba não está acima da le…,esquerda
212,"1,1725131882792E+018",na terra do bang bang ,neutro
213,"1,18279554558639E+018", vamos continuar defendendo nossos direitos defendendo a amazônia e defendendo a vidapalavras de cacique raoniraoni…,esquerda
214,"1,18320285186834E+018", vamos con todo segunda etiqueta del día ➡️rasespueblo ,neutro
215,"1,18243465123272E+018", tudo bem  vou cobrar isso aí k,neutro
216,"1,18427337571322E+018",francischini pra maria do rosário “você é chata demais” kk curitiba delegadofrancischini felipefrancischini ,neutro
217,"1,14227376942951E+018",novafotodoperfil ,neutro
218,"1,18317516846791E+018", que maneira,neutro
219,"1,18026139045348E+018",senhores não bebam gim na velocidade adolfo se beberem deixem o cel longe pela atenção obgado,neutro
220,"1,18205101309373E+018", experiente foi entrevistar o sequestrador da eloá ,neutro
221,"1,1809829393724E+018", link para divulgação do pacote anticrime e da campanha publicitária a campanha foca nas pessoas nos dramas sofridos pelas ví…,direita
222,"1,17987931694923E+018",day 2 mindlesputa crítica social foda talkey 👉inktober inktober2019 ink art drawing draw traditionalart nankin ilustration sketchbok sketch arte artwork myart pencil pen penart dailyart… ,
223,"8,10577593426702E+017", melhoresdoanoanita 🤗😍,
224,"1,17752922574368E+018", não sei o q está pior o stf ou a diretoria do spfc,
225,"1,18313626805989E+018", ele não tem direito ao devido processo legal,
226,"1,1782966774191E+018",babaca ,
227,"1,18244680767634E+018",ao contrário do que diz bolsonaro o brasil durante o governo lula foi várias vezes sondado pelo secretáriogeral da ocde para integrála mas nunca quis perder como aliás nenhum dos brics o grau de liberdade política policy space que países em desenvolvimento detêm,esquerda
228,"1,18284551019081E+018", esperança não do verbo esperar mas do verbo esperançar já dizia paulo freire ,
229,"1,18302328742261E+018", eu respondo tão rapido q eu fico puto comigo mesmo,
230,"1,17732282388445E+018", só haverá democracia no brasil quando se adotarem pelo menos estas medidas o voto distrital puro a instituição do …,
231,"1,17193235699693E+018", você avisou a ele que não terá mais concurso,
232,"1,1829789379888E+018", lula ficou no 29° lugar entre os 301 candidatos ao prêmio nobel da paz😂 eu fico pensando ainda tem mais dois indivíduos…,
233,"1,18312671791485E+018", onde está o macron muito bem colocado parabéns,
234,"1,18405057441901E+018",como é a história bolsonaristas de última hora serão os desistentes de primeiro minuto esse cara de tubarãomartelo é patético depois viu que puxar o saco falsamente era um melhor negócio ,esquerda
235,"1,17555319924107E+018",quem esse merda pensa que é fora witzel canalha ,direita
236,"1,18319768749727E+018", no paquistão para pregar o evangelho é necessário ter homens armados para garantir a segurança no culto veja essa colheita…,
237,"1,18320058077435E+018", como adiciono na lista,
238,"1,16675928626717E+018",uma das causas do aumento da ansiedade mundial,
239,"9,56315025177809E+017",dica do dia se vc tem aecio45 na sua timeline só por acaso lá em 2014 não zomba do coleguinha porque vc ta na merda igual,esquerda
240,"1,18127094882732E+018", garoto solteiro lindobunteligente ao enves de esta namo ta no twiter ha para ne,
241,"1,17974243176131E+018", nas da dona mariza  sim,
242,"1,18312157827353E+018", feliz dia das crianças ,
243,"1,16215834349185E+018",thank you for sharing this awesome photo on for fre 🎁,
244,"1,17195999477174E+018",no que diz respeito ao empenho ao compromisso ao esforço à dedicação não existe meio termo ou você faz uma coisa bem feita ou não fazobrigadosena ,
245,"1,18279203766346E+018", quem sabe a letra inteirinha da superacanta comigo 😍ele tá fazendo de tapete o seu coraçãopromete pra mim que dess…,
246,"1,18311405711882E+018", povo tem que pensar mais no “e se fosse comigo eu ia gostar”,
247,"1,18314330732254E+018", isso é obrigação dos estados mas o lance é responsabilizar o governo federal né,
248,"1,14469638528091E+018", bonoro aí tu me fode primeiro os judeus agora os japoneses tnc,esquerda
249,"1,18001436643275E+018", aye aye  👻 ,
250,"1,18235302005676E+018", 10deoctubre con la presencia de raúl y díazcanel da inicio la sesión extraordinaria de la asamblea nacional del po…,
251,"1,18031253573773E+018",eu não vou criar expectativaeu também teorizando a volta da natasha do além ,
252,"1,18065838801706E+018", otário,
253,"1,18295829221526E+018",como é bom acordar e saber que a maior organização criminosa já formada no país já não governa o brasil,direita
254,"1,18007474757872E+018",quando penso q vou dormi de cara eu arrumo um fino me me supero k,
255,"1,16931082535139E+018", esperar 12 minutos para que a telefonista pegue o telefone e ela recolocar na espera sem nem falar com você é um desrespeito incompatível com este órgão,
256,"1,18274948852552E+018", por sugestão de damares bolsonaro veta projeto que obriga hospital a comunicar violência contra a mulher,esquerda
257,"1,1871428733068E+018",ucrânia quer aviões militares do 🇧🇷 presidente ucraniano tem interesse em comprar aviões super tucano o ministro de relações exteriores  avaliou a possibilidade dos ucranianos adquirirem a aeronave kc390 cargueiro militar fabricado no brasil ,
258,"1,18208974813284E+018", onde estavam qdo amargamos a corrupção da maldita esquerda por 16 anos o presidente tem que ignorar dar o desprezoescolher os jornalistas e emissoras que trabalhem com a vd e excluir os outros das entrevistas,direita
