,tags,text
41,1,segundo a pesquisa da fsb 70 dos brasileiros apoiam a prisao em 2a instancialo stf nas instancias superiores nao se analisam provas e fatos somente questoes processuaismudar o entendimento sobre isso e fazer um afago a corrupcao e aos crimes de colarinhobranco
42,1, assassina da enteada livre no dia das criancas judiciario pedindo r 2 milhoes pra fazer um museu do stf politico do mdb virando lider do governo no congressoessas coisas aconteceram essa semana e no ultimo ano e 10 anos atraso brasil precisa mudar urgente
43,2, escoria da escoria
44,1, o canal esta cquase 170 inscritos tem 270 milhoes de views globais e mais de 13 milhoes de views mensais faco conteud
45,1,ignobil e quem vota no hadad pela democracia vira vegano para disfarcar a falencia e chora de cocoras no chuveiro quando ve que o irmao ganha mais grana que ele 
46,1,o joice vem ca 
47,1,lula nao sera preso nunca mais 
48,1, shoping joao pessoa livraria santos
49,1,ate amanha 
50,1,boa em breve no canal 
51,1, informante da kgb contratado da cn vendido pra esquerda traidor da patria amigo de frota agora participante do mbl o que mais falta a verdade e uma so e ela incomoda muita gente
52,1,por que fui desconvidado do cpac 
53,1, nando obrigado pelo apoio nao ficara impune uma denunciacao caluniosa como essa meus extratos bancarios estao a dispo
54,1,falei a pouco com o o que estao fazendo com ele e uma tremenda canalhice eu sei quem e o cara que fez isso e a razao de fazer essa vinganca o gil vai abrir todas as contas dele para todo mundo ver
55,1, se unir para ajudar o stf e esvaziar a manifestacao pela lavatogapensa seu moleque pensa
56,1, pois e
57,1, peco perdao nunca mais indico um petista para a pgr
58,1, que merda que eu fizsancionei financiamento de advogado com fundo partidario
59,1,no rio de janeiro um deputado tenta proibir a venda de margarina no estadoa falta de senso de prioridade e a crenca de que o cidadao nao tem responsabilidade para ter liberdade ainda dominam parte da politica
60,1, faz sentido 
61,1,o brasileiro quer sair na rua sem medo quer ver os corruptos condenados presos quer viver em um pais seguro nao ha mais espaco para impunidade no brasil a sociedade nao quer mais ser vitima por isso o novo defende a prisao em segunda instancia prisaoem2ainstanciasim 
62,2,nova previdencia aprovada no senado nao podemos nos desmobilizar ainda ha um longo caminho para a aprovacao da reforma da previdencia dos estados municipios e dos militares o novo seguira trabalhando por um sistema previdenciario justo e sustentavel
63,1,queremos um brasil sem impunidade e rever a prisao em segunda instancia e um passo na direcao opostao brasil nao pode andar para tras
64,1, 35 milhoes de brasileiros sem acesso a agua tratada metade da populacao sem coleta de esgoto do que e coletado so 45
65,1,pessoal este sabado teremos o 5deg encontro nacional do novo restam poucas vagas inscrevase em 
66,2,nova previdencia aprovada no plenario do senado falta pouco para colocarmos em pratica um sistema previdenciario mais justo e sustentavelagora serao votados os destaques temos que continuar nos mobilizando para evitar que o projeto seja desidratado e conceda novos privilegios
67,1,nem jatinhos e nem classe executiva aqueles que servem a populacao nao devem ter privilegios pagos pelo cidadao
68,0,parabens para os voluntarios do nordeste que estao dando um exemplo de cidadania e limpando as areas atingidas com as proprias maos antes mesmo do governo federal tomar as iniciativas necessarias e saindo da indignacao para a acao que construiremos o brasil que queremos
69,1,parabens aos nosso deputados e por representarem a populacao que nao aguenta mais a impunidade e votarem contra este absurdo
70,0,infelizmente a impunidade venceu hoje o plenario da alerj votou pela liberacao de 5 deputados presos pela lava jato a bancada do novo votou contrafica claro mais uma vez que ainda precisamos continuar renovando a politica e nos mobilizando para apoiar a lava jato
71,1,o texto que escrevi ha exatamente um ano permanece atual somos todos responsaveis pela construcao do brasil que queremos
72,1,se voce acredita que pode assumir este protagonismo se inscreva no nosso processo seletivo em 
73,1,se voce tem um amigo familiar vizinho ou pessoa que admira e que seria ideal para gerir o seu municipio converse com ela
74,1,estamos chegando no prazo final para o processo seletivo do novo para prefeituras 2020 faltam 10 dias 
75,1,o processo seletivo do novo para prefeituras 2020 foi aberto em 68 municipios um salto enorme em relacao a nossa primeira eleicao municipal em 2016 quando abrimos processo seletivo para prefeitura em 5 capitais 
76,2,alem disso todos realizaram processo seletivo para formar suas equipes com base em criterios tecnicos e nao por indicacao politicacom um time competente e integro e possivel fazer mais com menos
77,1,o novo trabalha por um brasil onde o estado nao pese tanto no bolso do cidadao acreditamos que os politicos devem dar o exemplo por isso nossos mandatarios abriram mao de todos os privilegios e estao entre os parlamentares que mais economizam o dinheiro do cidadao 
78,1, o mbl sempre repudiou essas praticas e vem dando exemplo por onde passa e o deputado est que mais economiza
79,1, o audio do queiroz revelado hoje tem uma verdade ha uma infinidade de cargos com supersalarios nas casas legislativas do pais
80,1,obstrucao total a favor de quem trabalhahoje na camara municipal obstrui a tramitacao do pl que quer acabar com os aps de transporte na cidade de sao paulono fim conseguimos suspender a tramitacao e alcancamos mais apoio mas a luta continua 
81,1,apos forte pressao dos motoristas de aplicativo e articulacao que fizemos com outros vereadores da camara municipal conseguimos suspender a tramitacao do projeto que pretende acabar com os aps na cidade de sao pauloimportante vitoria mas a luta continua 
82,0, sessaoplenaria se posicionando contra o pl 4192018 que regulamenta o servico remunerado de transporte de passageiros
83,1,uma boa noticia para o tao degradado centro de sao paulo que a obra traga um novo tempo para a regiao
84,0,um dos projetos que esta na pauta de votacao da camara de sp hoje e o pl 41918 que inviabiliza os aps de transporte em sao paulo vamos lutar ate o fim para que este projeto seja rejeitado 
85,1,em sao paulo somente o aplicativo uber tem mais de 20 mil motoristas parceiros e atende a mais de 6 milhoes de usuario no estado paga quase 25 milhoes em impostosquerem votar hoje em sp o pl 41918 que limitaria o numero de veiculos de aps e inviabilizaria o servico
86,1,outros efeitos colaterais caso esse pl seja aprovado 19 milhao de usuarios deixarao de ser atendidos por mes e o municipio perderia 109 milhoes de receita por ano iss e preco publicohoje farei de tudo para barrar esse projeto inconstitucional nefasto e corporativista
87,1,estao tentando pautar para que seja votado na camara de sp o pl 41918 que limita o numero de veiculos de ap a mesma quantidade de alvaras de taxi isso retiraria 70 dos motoristas de circulacao esse e o pl do desemprego
88,1, amaspa associacao de motorista amasp foi ontem ate a camara em busca de apoio de vereadoreslembrese desses ve
89,1,comunicado de licenca para exercer missao temporaria nos estados unidos da america 
90,1, o v congresso nacional do sera o maior evento politico dos ultimos tempos e ja tem data local e diversos nomes confi
91,1,correcao orcamento para 2020
92,1,a anistia concedida a 750 mil imoveis em sp e um dos primeiros passos para a justica tributaria na cidade agora so resta corrigir os tributos escorchantes que a prefeitura cobra dos demais proprietarios
93,1,assim como relogios parados acertam as horas duas vezes ao dia a gestao covas tambem faz algo util para a populacao de tempos em tempos 
94,2, tive fome e me deste de comer tive sede e me deste de beber mt 2535 pecamos hoje a graca da compaixao a capacidade
95,1, detalhe o audio de depois do caso explodir normal ne nada pra ver aqui circulando 
96,1, desculpa zuar um fake que fica defendendo rola de politico alias desculpe tb zuar as rolar q vc chupa k
97,1, expectativa defesa dos valores da familia e da civilizacao ocidental realidade defesa de rola de marmanjo numa tentat
98,1, bacana a iniciativaresta saber se pra atingir a cota a ideia e proibir um percentual de homens ou levar algumas mulheres
99,1, obrigado ao publico pela excelente audiencia e obrigado a toda equipe do programa pelos excelentes programas sem voces
100,1, essa imagem e real 
101,1, o cara ta defendendo ate o pinto dos bolsonaroahiajqiahqhauqhsuehajehqidhwiahejqhshiqjehjwksheiahsh2jwkqjdheiahehqhehqhshehqh
102,1, uncharted
103,1, expectativa aqui e templario e vaporwave porra e pura testosterona chora isentaorealidade a piroquinha do me
104,1,obrigado ao publico pela excelente audiencia e obrigado a toda equipe do programa pelos excelentes programas sem voces eu nao poderia dizer que hoje de noite tem mais the noite 
105,1, que fim triste para os vaporwaves de templarios a defensores de rola de politico
106,1, pslnascomissoes uma quartafeira de vitorias gracas ao excelente desempenho dos parlamentares do pslnacamara em 5 comi
107,1,almoco da bancada do psl com os ministros general ramos secretaria de governo marcos pontes ciencia e tecnologia e gustavo canuto desenvolvimento regional 
108,1,semanadapatria 
109,2,todo dia e 17 filiese ao psl 
110,1,caruaru pe 
111,2,psl debate cpi das ongs 
112,2,filiese ao psl 
113,1,o presidente nacional do psl deputado luciano bivar recebeu o viceministro do departamento internacional do comite central do partido do governo da china li jun acompanhado pelo embaixador da china no brasil yang wanming e comitiva na sede do psl em brasilia 
114,1,o presidente do psl deputado luciano bivar com o embaixador da china yang wanming acertando os detalhes para a reuniao dos partidos politicos dos brics grupo formado por brasil russia india china e africa do sul que sera organizada em outubro pelo psl 
115,1,pernambuco sucesso 
116,2,evento de filiacao psl para 
117,2,evento de filiacao psl campo grande ms 
118,1, 250 milhoes de dolares r 1 bilhao de reais para o programa de servicos de saneamento e preservacao da agua para abastecimento na regiao metropolitana de sao paulo
119,1, 60 milhoes de dolares r 240 milhoes para o programa de desenvolvimento urbano e social do municipio de jacarei produs 30 milhoes de dolares r 12 bilhao de reais para o programa de despoluicao do rio tiete etapa iv
120,1,garantindo os seguintes beneficios para o estado 296 milhoes de dolares r 184 bilhao para implantacao da linha 17  ouro monotrilho 87120 milhoes de dolares r 3485 milhoes para o programa de apoio a gestao e interligacao dos fiscos no brasil profisco i sp
121,0,uma vitoria para o estado apesar da falta de consideracao e do empenho do governo de sao paulogracas a minha luta no senado consegui a garantia de aprovacao de 1 bilhao de dolares aproximadamente 4 bilhoes de reais para o estado de sao paulo em emprestimos internacionais 
122,1,garantindo os seguintes beneficios para o estado 296 milhoes de dolares r 184 bilhao para implantacao da linha 17  ouro monotrilho 87120 milhoes de dolares r 3485 milhoes para o programa de apoio a gestao e interligacao dos fiscos no brasil profisco i sp
123,1, 
124,1,ja no meu primeiro mes de mandato apresentei projeto que acaba com esa vergonhavoce me apoia nesa luta 
125,0,vamos aprovar a reforma da previdencia ese sera o primeiro paso para o brasil voltar a crescer parabens pr bolsonaro e min guedeslutemos tambem pela reforma tributaria pacote anticrime cpi lava togas e combate a corupcao doa a quem doer integra 
126,2,o brasil vai voltar a crescer hoje vamos aprovar a reforma da previdencia ja tivemos diminuicao no indice de criminalidade os investimentos estao voltando nao adianta torcerem contra com bolsonaro o brasil ja deu ceo 
127,1,sera que ele pensa que os paulistas nao tem memoria o fato de ter sido traido por doria nao justifica todo o mal que feznao passara de 4 de novo
128,1,verdadeiro exemplo de respeito e inclusao parabens a todos os envolvidos
129,1, e aqui no nosso pais querem acabar com a prisao em segunda instancia parece que querem uma cultura de impunidade isso e
130,1, a senadmjsp intensificou as vendas em leiloes de bens sequestrados ou confiscados do trafico de drogasmesmo antes do ultimo
131,0,e amanhapela primeira vez a cj estara em cianorteprprecisamos nos aproximar ouvir voces e realizar demandas faca parte da audiencia publica da cj do paranaquintafeira 17 as 19h na camara municipal de cianorte av santa catarina ndeg 621 centroesperamos voces 
132,1, apos uma batalha regimental que durou horas a relatora da pec da prisao em 2a instancia esta finalmente lendo seu pare
133,1,projeto prioriza cirurgia plastica reparadora pelo sus em mulheres vitimas de violenciasaiba mais em 
134,1,k parem de gritar curitiba delegadofrancischini felipefrancischini 
135,2,e mais uma vez o ministro sergio moro e aplaudido de peassista a palestra que moro fez ontem na sede da fiesp em sao paulo pacoteanticrime pacoteanticrimemoroassistam 
136,1, continuo firme em meu proposito sofro pressao de diversas fontes ao mesmo tempo picuinhas e amadorismos nao podem ser
137,1,mais uma acao importantissima e linda da provopar estadualoutubro mes de conscientizacao sobre o cancer de mama precisamos aderir a campanha ate mesmo nos homens saiba como foi o evento 
138,1, urgente diante da pauta de julgamento do stf para esta proxima quinta decidi chamar uma reuniao extraordinaria da cj
139,1,mais uma acao do provopar estadual parabens a todos envolvidosoutubrorosa 
140,1,eu apoio o outubro rosa 
141,2,precisamos defender o pacote anticrime do ministro sergio morosaiba como foi o maior evento conservador do mundo 
142,1,boa noite amigos
143,2, francischini critica esquerda por defender o aborto 
144,1,dialetica negativa uma bela bosta 
145,1,quem sustenta os isentoes 
146,1,promocao livraria olavo 2 ineditos de 08 a 1 de outubro 
147,1,demonios no vaticano e a ira de deus 
148,1,abrindo o jogo com voces 
149,1,o governo mais achincalhado da historia 
150,0,o golpe contra bento xvi 
151,1,ministro barroso revela a face oculta do stf 
152,1,a agenda da onu e o sinodo da amazonia 
153,1,colombiana estigmatizada tem visao mistica 
154,1,o reino dos analfabetos funcionais 
155,1,dossie sobre o mbl 
156,1,entrevista ao filosofo americano steve turley  parte 1 
157,1,todo apoio ao bolsonaro 
158,1, o ganhador do premio nobel da paz kailash satyarthi acaba de chegar na sede da policia federal em curitiba para visitar
159,0, lava jato pede anulacao de condenacao de lula em acao do sitio de atibaia 
160,1, olha so como eram feitos os disparos em massa de que adianta pedir pra operadoras as linhas das agencias e d
161,1,salescriminoso sem chefe por 6 meses departamento de emergencias ambientais ganhou diretor 35 dias apos crise das manchas comecar desastre ambiental petroleo nas praias do nordeste g1 
162,1,entrevista que dei para uolfolha ciro e doria terao dificuldades em 202 de se descolar daquilo que ajudaram a construir voce nao consegue ter identidade as pessoas comecam a nao ter seguranca no que voce de fato representa 
163,2,uma carta aberta redigida por tres expresidentes de cortes superiores de justica europeias pede aos colegas do stf brasileiro que reflitam sobre os vicios dos processos iniciados contra lula justica brasileira nao tera credibilidade com lula preso 
164,0,o descaso do governo com o meio ambiente atingiu proporcoes alarmantesgoverno bolsonaro so formalizou plano 41 dias apos manchas aparecerem no nordeste 
165,1,nesta segunda entrevisto a antropologa e historiadora lilia moritz schwarcz nos vamos falar sobre um tema bastante presente na vida dos brasileiros o autoritarismo acompanhe na altv e nas nossas redes sociais as 20h
166,2, assim como agua e oleo nao se misturam o povo nordestino nao se liga ao fascismo da nova ordem bolsonarista essa brava gente
167,0,nao se perca1bolsonaro extinguiu comites do plano de acao de incidentes com oleo2bolsonaro tentou comprar deputados diz lider do psl3justica deixa prescrever processo contra edir macedo pronto para julgamento4 juiz moro ordenou busca e aprensao sem provocacao do mp
168,0,justica deixa prescrever processo contra edir macedo ja pronto para julgamento edir macedo foi inicialmente denunciado sob a acusacao de quatro crimes lavagem de dinheiro evasao de divisas associacao criminosa e falsidade ideologica 
169,0,um inepto na presidencia governo bolsonaro extinguiu comites do plano de acao de incidentes com oleo 
170,1,minha coluna da semana sobre o sus a estrategia saude da familia e o mais medicos tres grandes conquistas em risco 
171,1,temos um completo despreparado no comando omissao criminosao plano para conter derrames de petroleo que nao foi acionado pelo governo federal para o nordeste desastre ambiental petroleo nas praias do nordeste g1 
172,0,nao quero discussao sobre 2a instancia mas anulacao do processo diz lula via 
173,1, pressao autoritaria envergonha democracia papelao de novo age fora de sua atribuicao constitucional e como as democ
174,1, chocado nao imaginava isso 
175,2,mesmo com os escandalos o miliciano queiroz segue em atividade junto a familia bolsonaro enviou audio dizendo que tem mais de 50 cargos na camara e no senado 20 continho caia bem ate hoje nao compareceu para depor no mp e continua tranquilo no bairro do morumbi escarnio
176,1, o homem mais odiado pela extremadireita brasileira rasga o verbo numa entrevista exclusiva ao saib
177,1,cafecomboulos julgamento do stf sobre segunda instancia saiba o que esta em jogo 
178,1,cafecomboulos entenda o que significa o acordo de alcantara 
179,2,alem disso a ampliacao da base deve afetar comunidades quilombolas historicamente estabelecidas naquele territorio colocando centenas de familias em risco de despejo e um acordo lesapatria e antipovo
180,2,o acordo preve areas restritas em que os brasileiros sequer poderao entrar nao havera nenhuma contrapartida de transferencia de tecnologia aeroespacial para o brasil vale lembrar que a base esta num dos melhores locais do mundo para lancamento de foguetes e satelites
181,0,a camara aprovou na noite de ontem o acordo com os eua sobre a base de alcantara foram 329 votos lamentavelmente incluindo parlamentares da oposicao pc do b pdt e psb o acordo fere a soberania nacional entregando parte do nosso territorio para controle norteamericano
182,0,lula prisao em 2a instancia alcantara e psl cafecomboulos
183,1,a militarizacao das escolas e a porta do atraso educacao nao combina com repressao
184,1, e va preparando seu coracao voce que tanto quis pediu implorou sera finalmente atendido esta semana tem 
185,2,senado aprovou agora a reforma da previdencia por 60 votos a 19 chamando o ataque a aposentadoria de justica social ha 1 ano a mesma casa aprovou reajuste salarial dos ministros do stf para r40 mil o cinismo da maior parte dos parlamentares brasileiros nao tem limite
186,1,este artigo do economista pedro paulo zaluth bastos mostra os argumentos mentirosos do governo e de seus economistas de plantao em defesa da reforma entenda o que esta em jogo
187,2,hoje o senado devera realizar a votacao final da reforma da previdencia se aprovada vai aprofundar ainda mais as desigualdades no brasil o que foi vendido a sociedade como combate a privilegios na verdade ataca direitos
188,2,parabens a pela vitoria nas eleicoes presidenciais da bolivia cresce a resposta popular na america latina no proximo domingo e na argentina
189,1, imaginei que juristas invocassem a constituicao e nao pesquisas de opiniao publica 
190,1,lindo encontro das mulheres semteto do mais de 60 guerreiras para avancar na organizacao e na luta mulheresemovimento 
191,1, opiniao dupla dinamica dilapida direitos asfixia investimentos publicos e aprofunda o abismo da desigualdade no brasi
192,0,atencao ministro barroso do stf recebeu nossa adpf contra a negociata da embraer e pediu esclarecimentos do presidente da republica e da agu vamos seguir na luta contra essa entrega
193,1,educacao educacao e educacao ideia exemplo e militanciaas criancas que melhor aprenderam a ler e escrever no brasil vivem no sertao do sertao do nordeste 
194,1,entrevista para a radio jornal de caruaru 
195,1,e o presidente da republica nao fez sequer uma visita na regiao nem tomou providencias serias nem para resolver o problema nem para identificar os responsaveis 
196,1,a inoperancia das autoridades do governo federal e um crime 
197,1,sabado de luta convencao estadual do pdt de santa catarina com 
198,1,sexta a noite e hora de debater o brasil em balneario camboriu santa catarina sextou 
199,1,ja estou em florianopolis para duas palestras hoje e amanha para minha grande alegria liderancas do pt psol e pcdob nos procuraram para debater os cenarios para o ano que vem e tambem as lutas que nos unem 
200,1,participo agora da i conferencia nacional de educacao em porto alegre com 
201,0,parabens aos senadores que protegeram o brasil desta aberracao de nomear um despreparado para a mais complexa missao diplomatica conter danos obrigar bolsonaro ao jogo dentro das regras democraticas tarefas que o congresso nacional deve ao nosso povo 
202,1,uma conversa divertida com a dilma obrigado gustavo mendes 
203,1,bom dia ja estou deixando o interior de sao paulo para ir ao rio grande do sul debateremos educacao com e muita gente boa participe 
204,0,midia internacional noticiando nossa acao no supremo tribunal federal stf contra o crime de entregar a embraer contra essa negociata 
205,1,lamento muito ter noticia da morte de lazaro brandao que por muitos anos presidiu o conselho de administracao do bradesco e com quem apesar de muitas opinioes diferentes sempre mantive uma relacao de respeito e cordialidade 
206,1,entenda as razoes pelas quais a embraer nao deve ser entregue para a boeing 
207,1,tatu nao sobe em cima de toco 
208,1,o ganhador do premio nobel da paz kailash satyarthi acaba de chegar na sede da policia federal em curitiba para visitar lula e o segundo nobel da paz a visitar o expresidente na prisao lulalivrejafoto ricardo stuckert 
209,0,leia a integra do posicionamento da defesa do expresidente lula sobre a nova manobra dos procuradores da lava jato 
210,1, a lava jato deu para fazer pedidos em favor de nao se trata de correcao mas sim de tentativa de ofuscar seus
211,0,estou tranquilo stf decide hoje se vai cumprir a constituicao lula
212,2,ativista pelos direitos das criancas kailash satyarthi ja se encontrou com lula outras vezes quando o expresidente estava em liberdade e o segundo nobel da paz a visitar lula na prisao 
213,1,confira a programacao e participe 
214,1,pai da mentira equipelula 
215,0,procuradores de curitiba usaram material digital obtido ilegalmente e sem garantias de que nao foram adulterados equipelula lulalivre
216,0,aniversario do lula na vigilia lula livre e neste domingo 27 em comemoracao aos 74 anos do nosso presidente confirme presenca no evento e convide seus amigos 
217,0, angela davis foi ovacionada quando pediu lula livre no ibirapuera mas para o jornal nacional isso nao aconteceu e pr
218,1,a falta de confianca no sistema de justica brasileiro esta corroendo o estado de direito e a democracia com repercussoes para todos os juizes do mundo escreveram em carta 
219,0,entrevista do advogado do expresidente lula cristiano zanin martins liberdadeplenaparalula 
220,0,frelulangela davis e lulalivre agora no auditorio ibiraquera em sao paulo 
221,1,alertafakenews espalhe a verdade 
222,1, hashtag notempodolula viraliza e internautas relembram o brasil que dava certo 
223,1,nome de rua 
224,1,amo um cara 
225,1,a dona da faixa 
226,0,de todas as alegrias do mundo a maior e virar cartaz de protesto 
227,1, atencao a camara vota hoje o pl 372319 que libera o porte de armas de fogo por decreto presidencial e ninguem esta falan
228,1,making of miliciano 
229,0, os protestos no libano comecaram contra um imposto sobre conversas pelo whatsap e se transformaram em um levante contra o
230,1,opa otima dica sigam o assunto nao conhecia o ultimo aqui 
231,1, te amo
232,1, que bom que voce gostou meu amigo
233,0,o sinistro do meio ambiente fora sales arte de gladson targa 
234,1,making of te conheco de algum lugar 
235,1,novo ep do gregnews 
236,1,te conheco de algum lugar 
237,2,oleo nao cai do ceu e crime ambiental e tem muitos culpados 
238,1,making of emprestando 
239,1,otimo podcast pra voce nao ficar perdido nesse got do psl 
240,1,queiroz voltou e em grande estilo para ele vinte continho cairia bem e pra voce o que cairia bem 
241,1,hoje estou gravando um novo programa para nossas redes estamos andando por porto alegre andando pela cidade e conversando com pessoas que vivem seus desafios  vai ficar legal essa na imagem e a camile minha amiga desde sempre e professora da rede municipal 
242,1,ha exatamente um ano  
243,1,o descaso do governo bolsonaro com o desastre ambiental no litoral brasileiro por laerte sempre genial 
244,1,3 pinera idolo de guedes depois da intensa semana de revolta popular esta revendo as reformas ja realizadas dentre as quais a aposentadoria chilena e simultaneamente anunciando um conjunto de outras medidas lutemos so a luta muda a vida
245,2,2 o chile e a grande referencia do ministro da economia do brasil e na noite de ontem demos o passo na direcao da tragedia chilena o nosso senado aprovou a reforma da previdencia
246,2,1primeiro eles chamaram de guerra declararam estado de sitio prenderam mais de 2 mil mataram 15 depois reconhecem que o povo esta lutando por dignidade contra a desigualdade e anunciam reformas 
247,0,3 eles nao sao pq o seu lugar e o da covardia e da violencia de estado contra criancas trabalhadores gente desarmada populacao pobre e especialmente negra essa caricatura ridicula esse espetaculo bizarro esta a servico do projeto dos mais fortes dos poderosos de sempre 
248,1,2 desde a antiguidade a historia de david e golias serviu para dizer que os mais fracos podem vencer os mais fortes o ministro e o governo da morte estao muito longe de ser david o menino que derrotou o gigante
249,1,1 em mais um dos videos vergonhosos que costuma protagonizar o ministro da educacao diz que e a pedra de david que matou o gigante golias nao ele nao e
250,1,apesar de tantos sinais de que os povos da america latina nao suportam mais a desigualdade social causada pelas reformas o senado aprovou em segundo turno a reforma da previdencia que nao garante aposentadoria digna para os trabalhadores e as trabalhadoras brasileiras
251,0,15 mortos mais de 2 mil pessoas detidas chile 2019 
252,1, em breve equipe
253,1, tem sim equipe
254,1, em breve mais datas e cidades equipe
255,1,muito feliz em compartilhar com voces a primeira parte da agenda de lancamento do meu novo livro por que lutamos um livro sobre amor e liberdade disponivel em todas as livrarias e no site do instituto e se fosse voce 
256,1,viva o povo boliviano viva 
257,1,meu professor no correio do povo de hoje 
258,1,se estou feliz aqui e finalista 
259,1,pare de falar besteira pare de botar a culpa nos outros pare de repetir essa baboseira conspiratoria e vai trabalhar em vez de ficar criando cortina de fumaca pra tentar esconder a sua incompetencia e omissao tome vergonha e assuma a sua responsabilidade 
260,2,todo apoio a inciativa do deputado que acabou de pedir a abertura da cpi do oleo para investigar as causas do desastre e a postura omissa do governo bolsonaro que em vez de trabalhar e enfrentar o problema prefere repetir as baboseiras conspiratorias de sempre
